# 1. Assumptions and notation

**A1 – Rounding model.** Every reported timestamp t (including `arrival_s1`) represents an unknown true time in [t2.5 min, t+2.5 min]. Any *duration* computed from two rounded timestamps therefore carries an additional ±5 min of pure rounding uncertainty on top of any imputation range. This is not re-derived for every number below; it should be read as a constant "noise floor" on all point estimates.

**A2 – Event-order / tie convention.** When two rounded timestamps coincide (e.g., a station's job ends at the same rounded minute another starts on the same resource), we assume **departures are processed infinitesimally before arrivals** at a tie. This lets a resource release capacity to the next queued case at the same rounded instant without implying two simultaneous occupations, and it fixes how WIP is counted at tie points (a case leaving at t is not counted in WIP(t); a case entering the queue at t is counted from t).

**A3 – Capacity.** S1 has at most 2 concurrent servers (I1, I2); S2 has at most 2 concurrent servers (C1, C2), except C2 is removed from the pool 10:55–11:10 (A9). No resource is assumed to process two cases at once except where rounding could produce an apparent (5 min) overlap, which we treat as a rounding artifact, not evidence of true concurrency.

**A4 – Queueing discipline.** S2 queue entry time = S1 completion time (`s1_end`), per the scenario statement. No bypass is assumed possible (per scenario). FIFO-per-resource is assumed only as a plausible default, not a hard constraint — we do not use it to force imputed values beyond what the data support.

**A5 – MISSING start imputation.** For a MISSING start with known end, resource, and (for S2) known predecessor `s1_end`, we bound the true start by:
 lower = max(queue-entry time, time the same resource became free after its immediately preceding logged job)
 upper = logged end time (service time  0)
A **central estimate** is the midpoint of [lower, upper] unless stated otherwise. This is stated as a labeled assumption, not a fact.

**A6 – OPEN activities.** Elapsed service = 14:00  start. This is a **lower bound** on the eventual service time; no upper bound is imputed from data (any upper bound used in sensitivity analysis, §6, is a scenario assumption, not an observation).

**A7 – Blank S2 fields with completed S1 ("WAITING_FOR_S2").** Case has entered the S2 queue (wait clock running from `s1_end`) but service has not started; elapsed wait = 14:00  s1_end is a lower bound on true wait, right-censored.

**A8 – Blank S1 fields ("WAITING_FOR_S1", P22).** Case is queued for S1; elapsed wait = 14:00  arrival is a lower bound, right-censored. No station has been entered.

**A9 – C2 outage.** C2 is treated as removed from the resource pool for the interval 10:55–11:10 (15 min), reducing S2's available capacity in that interval to 1 server. We do **not** assume C2 was still finishing a case exactly at 10:55 unless the log shows it (it does not).

**A10 – No unlogged stations / no hidden rework.** We assume each case visits S1 exactly once then S2 exactly once (per scenario). We do not assume unlogged intermediate waiting stations.

**A11 – Arrivals after 12:10.** The table shows no arrivals after P22 (12:10). We treat this as an **observation of the extraction window**, not proof that the true external arrival process stopped; it is flagged as a source of uncertainty for late-period rate estimates (§5, §6).

# 2. Reconstruction method and formulas

For a case with arrival a, S1 start s1s, S1 end s1e, S2 start s2s, S2 end s2e:

- **S1 wait** (queueing before inspection) = s1s  a
- **S1 service** (active inspection) = s1e  s1s
- **S1 sojourn** = s1e  a = S1 wait + S1 service
- **S2 wait** (queueing before calibration) = s2s  s1e (A4: queue clock starts at s1e)
- **S2 service** = s2e  s2s
- **S2 sojourn** = s2e  s1e
- **Total case sojourn** = s2e  a = S1 sojourn + S2 sojourn (only defined for fully completed cases; for open/waiting cases we report **elapsed** sojourn, a lower bound, explicitly labeled censored)

**Imputed / bounded quantities** (MISSING starts, per A5): reported as [lower, upper] with a midpoint marked "central estimate." Note that for a MISSING start, **wait + service is fixed** (= known end  known lower-bound anchor), only the *split* between wait and service is uncertain — this is exploited below (e.g., P05, P07, P11, P15 total sojourn is exact even though the internal split is not).

**WIP / queue length.** For a station, define arrival events = {queue-entry timestamps} and departure events = {completion timestamps, or "still present" for open/waiting cases}. WIP(t) = #arrivals  t  #departures  t, with ties resolved by A2. Peak WIP = max over the reconstructed step function. "Mean WIP" over an interval = time-weighted average of the step function. In-service vs in-queue split at a given t is only knowable when start status is OK; when start is MISSING/blank we can only bound the split (case is "in station" but service-vs-queue is uncertain).

**Utilization.** Busy time of a resource =  logged/imputed service durations executed by that resource within the analysis window (using elapsed time, capped at 14:00, for any OPEN job), divided by that resource's **available** time in the window (360 min, or 345 min for C2 due to the outage, A9). Because two of the four resources have MISSING or OPEN jobs, utilization is reported as [low, central, high] rather than a single number.

**Little's Law.** L = ·W is applied only to sub-intervals where the station's WIP step function returns to (approximately) the same level at both endpoints (net accumulation  0), which is the minimum defensible proxy for "steady" flow with only 22 cases and no repeated cycles.  = (arrivals in interval)/(interval length); W is cross-checked against the actual sojourn times of cases active in that interval, not merely inferred from L and  (to avoid circularity).

# 3. Case-level reconstruction

All times in minutes. Ranges shown as [low–high] (mid); "fixed" = exact given the two known endpoints even if an internal split is uncertain.

| case | S1_wait_estimate_or_range | S1_service_estimate_or_range | S2_wait_estimate_or_range | S2_service_estimate_or_range | censoring_or_missingness_flag | important_note |
|---|---|---|---|---|---|---|
| P01 | 5 | 20 | 5 | 30 | none | total sojourn 60 |
| P02 | 5 | 25 | 5 | 40 | none | total sojourn 75 |
| P03 | 20 | 25 | 10 | 40 | none | total sojourn 95 |
| P04 | 20 | 30 | 15 | 40 | none | total sojourn 105 |
| P05 | 35 | 25 | [20–50] (~35) | [0–30] (~15) | MISSING S2 start | wait+svc fixed at 50 (09:2510:15); total sojourn fixed = 110 |
| P06 | 40 | 30 | 25 | 40 | none | total sojourn 135 |
| P07 | [40–75] (~57.5) | [0–35] (~17.5) | 20 | 40 | MISSING S1 start | wait+svc fixed at 75 (I1 free 09:2510:00); total sojourn fixed = 135 |
| P08 | 50 | 30 | 55 | 45 | none | S2 wait jumps here — first case queued through the C2 outage window; total sojourn 180 |
| P09 | 60 | 30 | 25 | 40 | none | total sojourn 155 |
| P10 | 70 | 30 | 50 | 25 | none | total sojourn 175 |
| P11 | 75 | 25 | [55–80] (~67.5) | [0–25] (~12.5) | MISSING S2 start | wait+svc fixed at 80 (11:0512:25); total sojourn fixed = 180 |
| P12 | 85 | 30 | 45 | 45 | none | total sojourn 205 |
| P13 | 80 | 30 | 50 | 50 
