<think>
Thinking Process:

1.  **Analyze the Request:**
    *   **Role:** Independent reviewer of supplier-onboarding conformance.
    *   **Task:** Argue both sides (Prosecution vs. Defense) regarding the conflict between the normative POWL model (M0) and pilot practices/emergency directives/incomplete data/behavioral shifts. Then reach a reasoned judgment.
    *   **Constraints:**
        *   No single canonical answer (LLM judge evaluates dialectical fairness, semantics, evidence traceability, scope/authority, model revision).
        *   Do not ask questions.
        *   Do not merely split the difference; identify supported, disputed, or unproved propositions.
        *   Use exact top-level headings provided.
        *   Provide a specific PM4Py code block and data proposal.
        *   Classify each case with specific labels (COMPLIANT, JUSTIFIED_EXCEPTION, etc.).
        *   Acknowledge genuine defects on both sides.

2.  **Deconstruct the Materials:**
    *   **M0 (Normative Model):** Standard flow: Register -> (Sanctions || Quality) -> Decision (Approve[Manual] -> Activate OR Reject) -> Notify -> Close.
    *   **N1 (CS-9):** Standard policy. Sanctions + Quality before activation. Manual approval required. Requester != Approver.
    *   **N2 (PD-3 - Pilot):** Temporary (2026-06-01 to 2026-07-31). Low-risk DE group -> Auto_Approve. Quality can be post-activation (within 2 days). Sanctions before activation.
    *   **N3 (FD-7 - Emergency):** Temporary (2026-07-10 to 2026-07-12). Critical relief -> Activate before Quality/Manual. Sanctions before activation. Spend cap EUR 20k.
    *   **N4 (Data Change):** Notify moved to CRM. 70% mirrored, older links mutable.
    *   **N5 (Practice):** Request_More_Info loop desired. Permanent low-risk auto-approval desired.
    *   **Cases:** 14 cases (SUP-701 to SUP-715) with specific traces and contexts.
    *   **Aggregate Evidence:** Pilot usage stats, notification missingness, audit flags.

3.  **Drafting - Section by Section:**

    *   **1. Stipulated Facts:**
        *   *Facts:* CS-9 exists. M0 exists. Pilot (PD-3) and Emergency (FD-7) directives exist with specific dates. CRM migration happened. Specific traces exist.
        *   *Disputed:* Whether Pilot/Emergency overrides CS-9 (Authority). Whether CRM data is sufficient evidence (Data Integrity). Whether "Request_More_Info" is a formal step or informal delay (Process Semantics). Whether Rejection cases fall under M0 scope (Scope).
