

## 1. Temporal Data Semantics
State reconstruction follows the latest non-blank event attribute per case, respecting causality. Blank cells indicate no update at that timestamp; they do not reset values to null. Events with identical UTC timestamps are ordered by `event_index`. Material changes include updates to amount, jurisdiction, risk, or customer type. Final attributes are never copied backward to trigger points. Event time is the timestamp; effective time is inferred from evidence (or event time if explicit); record time is database write; evidence time is validation date.

## 2. Normalized Rule Table
| Rule | Trigger | Required Event | Ordering | State Snapshot | Exception | Missing Data | Evidence Needed |
|---|---|---|---|---|---|---|---|
| R1 | Release: JurisdictionDE, Amount100k | Enhanced_Review | After material change, before Release | At Release | Valid Exemption (R5) | INDETERMINATE | Review log, Exemption registry |
| R2 | Release: Risk=HIGH or Cust=PEP | Enhanced_Review + Compliance_Approve | Comp after Enhanced, before Release | At Release | None | INDETERMINATE | Approval packet |
| R3 | Screen added to sanctions post-screen, pre-release | Sanctions_Screen | After list update, before Release | At Release | None | N/A | List log, Screen log |
| R4 | Amount increase >20% post-review | N/A | N/A | At review + release | Decrease only | INDETERMINATE | Amount deltas |
| R5 | Exemption invoked | N/A | N/A | N/A | Scope match + Approval validity | N/A | Signature timestamp, Record |
| R6 | Missing trigger data | N/A | N/A | N/A | Resolved by other evidence | INDETERMINATE | None |
| R7 | Shared timestamps | N/A | event_index used | N/A | N/A | N/A | System clock log |

**Formal Pseudo-Logic (R1):**
`if (jurisdiction != "DE") and (amount >= 100000) at Release_Funds then`
    `requires Enhanced_Review where (time > last_material_change_time) and (time < Release_Funds_time)`
    `unless (Exemption_Visible(exemption_id, release_time))`

## 3. Case Findings
| Case | State at Release | Triggers | Satisfied | Deviations | Exemption Analysis | Classification | Severity | Confidence |
|---|---|---|---|---|---|---|---|---|
| TX-301 | 125k, US | R1, R4 | No | Enhanced missing post-amount change | No | NONCOMPLIANT | High | High |
| TX-302 | 180k, GB | R1 | Yes | Enhanced done; Exemption valid | Valid (strong sig) | JUSTIFIED_EXCEPTION | Low | High |
| TX-303 | HIGH risk | R2 | No | Compliance_Approve missing | No | NONCOMPLIANT | High | High |
| TX-304 | XZ sanctions | R3 | No | Sanctions_Screen missing | No | NONCOMPLIANT | High | High |
| TX-305 | 150k (settlement) | R1 | Unknown | Amount missing at release | No | INDETERMINATE | Medium | Low |
| TX-306 | PEP, HIGH | R2, R4 | Yes | Enhanced/Comp in order | No | COMPLIANT | None | High |
| TX-307 | PEP, DE | R2 | No | Enhanced missing; Std only | No | NONCOMPLIANT | High | High |
| TX-308 | 100k, US | R1 | Yes | Enhanced done | No | COMPLIANT | None | High |
| TX-309 | 145k, US | R1, R4 | No | Amount increased 23% post-Enhanced | No | NONCOMPLIANT | High | High |
| TX-310 | 200k, AE | R1 | Unknown | Exemption timing unconfirmed | Weak (sig after release) | INDETERMINATE | Medium | Low |
| TX-311 | 115k, DE | R1 | Yes | Jurisdiction changed to DE post-Enhanced | No | COMPLIANT | None | High |

## 4. Ambiguities and Alternative Readings
- **TX-302:** If the database outage log were missing, late record validity might be rejected, making it NONCOMPLIANT.
- **TX-305:** If the settlement amount were confirmed to equal release amount, R1 would trigger and require Enhanced_Review validation (currently invalid as review had no amount).
- **TX-310:** If witness testimony were corroborated by a neutral witness, EX-88 might be accepted, leading to JUSTIFIED_EXCEPTION.
- **TX-311:** If event_index was not used, jurisdiction change might be ambiguous, risking INDETERMINATE classification.

## 5. PM4Py and pandas Checking Code
```python
import pandas as pd
import pm4py
import io
from datetime import datetime

csv = """case:concept:name,event_index,concept:name,time:timestamp,org:resource,amount,risk_level,jurisdiction,customer_type,exemption_id,note
TX-301,1,Create_Transaction,2026-04-06T08:00:00Z,ops01,80000,LOW,US,CORPORATE,,
TX-301,2,Standard_Review,2026-04-06T08:10:00Z,rev01,,,,,,reviewed current state
TX-301,3,Update_Amount,2026-04-06T08:20:00Z,ops01,125000,,,,,customer increased order
TX-301,4,Release_Funds,2026-04-06T08:25:00Z,rel01,,,,,,
TX-302,1,Create_Transaction,2026-04-06T09:00:00Z,ops02,180000,MEDIUM,GB,CORPORATE,,
TX-302,2,Enhanced_Review,2026-04-06T09:20:00Z,rev02,,,,,,
TX-302,3,Release_Funds,2026-04-06T09:40:00Z,rel02,,,,,EX-77,release references exemption
TX-302,4,Record_Exemption,2026-04-06T11:00:00Z,compsys,,,,,EX-77,database insert after outage
TX-303,1,Create_Transaction,2026-04-06T10:00:00Z,ops03,90000,LOW,US,RETAIL,,
TX-303,2,Risk_Reclassify,2026-04-06T10:15:00Z,risk01,,HIGH,,,,adverse-media hit
TX-303,3,Enhanced_Review,2026-04-06T10:20:00Z,rev03,,,,,,
TX-303,4,Release_Funds,2026-04-06T10:30:00Z,rel03,,,,,,
TX-304,1,Create_Transaction,2026-04-06T08:00:00Z,ops04,60000,MEDIUM,XZ,CORPORATE,,
TX-304,2,Sanctions_Screen,2026-04-06T08:10:00Z,screen01,,,,,,clear at screening time
TX-304,3,Sanctions_List_Update,2026-04-06T08:30:00Z,listsys,,,XZ,,,XZ added to list
TX-304,4,Release_Funds,2026-04-06T08:45:00Z,rel04,,,,,,
TX-305,1,Create_Transaction,2026-04-06T11:00:00Z,ops05,,MEDIUM,CA,CORPORATE,,amount feed unavailable
TX-305,2,Enhanced_Review,2026-04-06T11:15:00Z,rev05,,,,,,review document has no amount
TX-305,3,Release_Funds,2026-04-06T11:30:00Z,rel05,,,,,,release message omits amount
TX-306,1,Create_Transaction,2026-04-06T12:00:00Z,ops06,220000,HIGH,SG,PEP,,
TX-306,2,Enhanced_Review,2026-04-06T12:15:00Z,rev06,,,,,,
TX-306,3,Compliance_Approve,2026-04-06T12:25:00Z,hc02,,,,,,
TX-306,4,Update_Amount,2026-04-06T12:30:00Z,ops06,230000,,,,,increase below 20 percent
TX-306,5,Release_Funds,2026-04-06T12:40:00Z,rel06,,,,,,
TX-307,1,Create_Transaction,2026-04-06T13:00:00Z,ops07,70000,LOW,DE,RETAIL,,
TX-307,2,Update_Customer_Type,2026-04-06T13:05:00Z,kyc01,,,,PEP,,beneficial owner matched PEP
TX-307,3,Standard_Review,2026-04-06T13:10:00Z,rev07,,,,,,
TX-307,4,Compliance_Approve,2026-04-06T13:12:00Z,hc03,,,,,,approved standard review packet
TX-307,5,Release_Funds,2026-04-06T13:20:00Z,rel07,,,,,,
TX-308,1,Create_Transaction,2026-04-06T14:00:00Z,ops08,140000,MEDIUM,US,CORPORATE,,
TX-308,2,Enhanced_Review,2026-04-06T14:20:00Z,rev08,,,,,,
TX-308,3,Update_Amount,2026-04-06T14:25:00Z,ops08,100000,,,,,decrease
TX-308,4,Release_Funds,2026-04-06T14:30:00Z,rel08,,,,,,
TX-309,1,Create_Transaction,2026-04-06T15:00:00Z,ops09,95000,LOW,US,CORPORATE,,
TX-309,2,Standard_Review,2026-04-06T15:10:00Z,rev09,,,,,,
TX-309,3,Update_Amount,2026-04-06T15:20:00Z,ops09,118000,,,,,first increase
TX-309,4,Enhanced_Review,2026-04-06T15:25:00Z,rev09,,,,,,
TX-309,5,Update_Amount,2026-04-06T15:28:00Z,ops09,145000,,,,,increase over 20 percent since enhanced review
TX-309,6,Release_Funds,2026-04-06T15:35:00Z,rel09,,,,,,
TX-310,1,Create_Transaction,2026-04-06T09:00:00Z,ops10,200000,MEDIUM,AE,CORPORATE,,
TX-310,2,Standard_Review,2026-04-06T09:20:00Z,rev10,,,,,,
TX-310,3,Release_Funds,2026-04-06T10:00:00Z,rel10,,,,,EX-88,release references exemption
TX-310,4,Record_Exemption,2026-04-06T11:00:00Z,compsys,,,,,EX-88,late database record
TX-311,1,Create_Transaction,2026-04-06T16:00:00Z,ops11,90000,LOW,US,CORPORATE,,
TX-311,2,Update_Amount,2026-04-06T16:10:00Z,ops11,115000,,,,,
TX-311,3,Enhanced_Review,2026-04-06T16:20:00Z,rev11,,,,,,
TX-311,4,Update_Jurisdiction,2026-04-06T16:20:00Z,ops11,,,DE,,,same timestamp after review by event_index
