<think>
Thinking Process:

1.  **Analyze the Request:**
    *   **Role:** Design a portfolio-level early-warning policy for live process cases.
    *   **Goal:** Decide when to intervene, allocate scarce capacity (4 slots), handle repeated alerts, monitor spillovers/fairness.
    *   **Context:** Enterprise service provider, critical incidents. Process stages: Opened -> Triage -> Diagnosis Started -> Diagnosis Complete -> Resolution Work -> Validation -> Closed.
    *   **Intervention:** 45-min "Senior Diagnostic Swarm". Only effective before `Diagnosis Complete`. Cost: €450. Spillover: +0.01-0.03 breach risk per slot on 6 untreated diagnosis-stage cases.
    *   **Constraints:** 4 slots today. 2 specialists. Spillover causes delay. Repeated swarms forbidden unless new event.
    *   **Model Uncertainty:** SME underpredicts, Strategic overpredicts, Public Sector okay but small sample, Non-Native-Language uncertain.
    *   **Input Data:** 10 cases (I-01 to I-10) with specific attributes (stage, time, probabilities, value, burden, ARR range, segment, alerts, data quality).
    *   **Scenarios:** Optimistic, Base, Adverse.
    *   **Output Format:** Exactly 6 specific sections.
    *   **Quality Criteria:** No single threshold reliance, handle calibration, handle spillovers, distinguish I-05 vs I-07, reserve slot if needed.

2.  **Deconstruct the Cases:**
    *   **I-01:** Triage, 7h left, p=0.61, Value €9k, Burden €250, ARR 0.18-0.35, Public Sector. *Eligible (Triage < Diag Complete).*
    *   **I-02:** Diag Started, 3h left, p=0.66, Value €25k, Burden €600, ARR 0.08-0.22, Strategic Ent, 2nd Alert. *Eligible.*
    *   **I-03:** **Diagnosis Complete**. 2h left, p=0.82. *Not Eligible for Swarm (Intervention ineffective).*
    *   **I-04:** Triage, 10h left, p=0.48, Value €60k, Burden €2k, ARR 0.10-0.28, Strategic Ent. *Eligible.*
    *   **I-05:** Triage, 5h left, p=0.57, Value €7k, Burden €100, ARR 0.25-0.40, SME, 3rd Alert (No new event). *Eligible but high alert fatigue.*
    *   **I-06:** Diag Started, 4h left, p=0.52, Value €15k, Burden €300, ARR 0.15-0.30, Public Sector, Data Quality Note (Imputed). *Eligible but weak signal.*
    *   **I-07:** Triage, 1.5h left, p=0.72, Value €5k, Burden €50, ARR 0.20-0.32, SME, 3rd Alert (New log). *Eligible, critical timing.*
    *   **I-08:** Triage, 8h left, p=0.43, Value €100k, Burden €5k, ARR 0.05-0.15, Strategic Ent. *Eligible but low ARR.*
    *   **I-09:** Diag Started, 2.5h left, p=0.69, Value €20k, Burden €800, ARR 0.18-0.30, Non-Native, Sparse. *Eligible but high uncertainty.*
    *   **I-10:** Triage, 12h left, p=0.46, Value €11k, Burden €150, ARR 0.12-0.26, SME. *Eligible.*

3.  **Drafting Section 1: Decision Rule:**
    *   Need to define eligibility (Stage < Diag Complete).
    *   Need to adjust probabilities (Calibration).
    *   Need to calculate Expected Value (EV).
    *   Need to handle Spillovers (Congestion Penalty).
    *   Need to handle Repeated Alerts (Cool-down vs New Event).
    *   *Calibration Adjustments:* Strategic Ent -> Overpredict (lower p). SME -> Underpredict (raise p). Non-Native -> Uncertainty buffer.
    *   *Spillover Cost:* Each slot adds ~0.02 risk to 6 cases. Cost = 6 * 0.02 * Avg_Value * Breach_Cost (approx). Or simpler: treat spillover as a cost metric.
    *   *Rule:* EV > Threshold + Spillover Cost.

4.  **Drafting Section 2: Capacity Allocation:**
    *   Calculate EV for each eligible case.
    *   *Formula:* $EV = (p_{now} \times V \times ARR_{mid}) - Cost_{slot} - Cost_{false\_alarm} - Spillover_{cost}$.
