<think>
Thinking Process:

1.  **Analyze the Request:**
    *   **Task:** Investigate change-control cases at a pharmaceutical plant based on provided data (Process Activities, Resource Rules, Role Assignments, Delegations, Absence Evidence, Event Log CSV, Session/Identity/Pattern Evidence).
    *   **Goal:** Assess resource deviations (unauthorized, valid substitution, data problem, suspicious pattern, etc.) without inferring guilt solely from collaboration. Evaluate roles at event time.
    *   **Constraints:** Do not ask questions. Do not infer innocence/misconduct solely from repeated collaboration. Use specific top-level headings. Use specific classifications (AUTHORIZED, VALID_SUBSTITUTION, UNAUTHORIZED, DATA_OR_IDENTITY_PROBLEM, SUSPICIOUS_PATTERN, INDETERMINATE). Provide Python code for PM4Py/pandas checks.
    *   **Output Format:** Strictly follow the 7 required headings.

2.  **Data Analysis & Fact Extraction:**

    *   **Roles & Aliases:**
        *   Asha Rao (u_as): QM from 2026-01-01.
        *   Ben Koch (u_bk, b.koch): Quality Engineer (QE) from 2025-01-01. *May only act under QM delegation for QM tasks.*
        *   Clara Stein (u_cs): Process Engineer (PE) from 2025-01-01.
        *   Diego Martins (u_dm): Maintenance Lead (ML) from 2025-01-01; IC from 2026-07-01.
        *   Eva Novak (u_en): Independent Verifier (IV) through 2026-08-11 23:59; QE from 2026-08-12. *Not QM.*
        *   Farid Lang (u_fl): Shift Supervisor (SS) from 2025-01-01.
        *   Grace Li (u_gl): Site Director (SD) from 2025-01-01.
        *   Shared service (svc_qms): Service account.

    *   **Delegations:**
        *   D-QM-01: Asha -> Ben. 2026-08-10 00:00 to 2026-08-14 23:59. QM approval for production-equipment. Asha absent (Annual Leave Aug 10-14).
        *   D-QM-02: Asha -> Eva. 2026-08-15 00:00 to 2026-08-15 23:59. Training changes only. Principal absent.
        *   D-IC-03: Diego -> Farid. 2026-08-11 12:00 to 18:00. Cooling Incident CI-44. No subdelegation.
        *   D-IC-04: Farid -> Clara. 2026-08-11 14:00 to 16:00. *Invalid* (Email only, D-IC-03 prohibits subdelegation).

    *   **Absence/Availability:**
