<think>
Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Investigate change-control cases at a pharmaceutical plant for resource violations (unauthorized action, valid substitution, stale data, identity aliasing, shared account, collusion).
    *   **Constraints:** Do not ask questions. Do not infer innocence/misconduct solely from collaboration. Evaluate roles/delegations at *event timestamp*. Use specific output headings. Provide Python code using `pm4py` and `pandas`.
    *   **Inputs:** Process activities, Resource Rules (RR1-RR6), Role Assignments, Delegations, Absence/Availability Evidence, Event Log CSV, Session/Identity/Pattern Evidence.
    *   **Output Structure:** 7 specific sections (Matrix, Rule Interpretation, Case Findings, Collusion Analysis, Code, Control Improvements, Executive Conclusion).

2.  **Deconstruct the Data:**

    *   **Roles:**
        *   Asha Rao (u_as): QM (from 2026-01-01).
        *   Ben Koch (u_bk, b.koch): Quality Engineer (from 2025-01-01). Can act as QM *only* under valid delegation.
        *   Clara Stein (u_cs): Process Engineer.
        *   Diego Martins (u_dm): Maintenance Lead, IC (from 2026-07-01).
        *   Eva Novak (u_en): Independent Verifier (until 2026-08-11 23:59), Quality Engineer (from 2026-08-12). *Not QM*.
        *   Farid Lang (u_fl): Shift Supervisor. IC only under delegation.
        *   Grace Li (u_gl): Site Director. No QM role.
        *   svc_qms: Service account (not human).

    *   **Delegations:**
        *   D-QM-01: Asha -> Ben. 2026-08-10 00:00 to 2026-08-14 23:59. Scope: Production-equipment. Condition: Asha absent. No subdelegation. Evidence: Signed PDF 2026-08-09, DB record 2026-08-12.
        *   D-QM-02: Asha -> Eva. 2026-08-15 00:00 to 2026-08-15 23:59. Scope: Training-document. Condition: Asha absent.
        *   D-IC-03: Diego -> Farid. 2026-08-11 12:00 to 18:00. Scope: Cooling Incident CI-44. No subdelegation.
        *   D-IC-04: Farid -> Clara. 2026-08-11 14:00 to 16:00. Scope: Pass D-IC-03. *Invalid* because D-IC-03 prohibits subdelegation.

    *   **Absence/Availability:**
        *   Asha: Leave 2026-08-10 to 2026-08-14. VPN session 2026-08-13 09:15-09:40.
        *   Ben: Sick leave 2026-08-13 12:00 to 2026-08-14 23:59. Account used during interval.

    *   **Cases (Event Log):**
        *   **CHG-501:** 2026-08-11. HIGH, production_equipment.
            *   Draft: u_cs (Clara)
            *   Approve: u_bk (Ben). *Check D-QM-01.* Asha on leave? Yes (08-10 to 08-14). Ben delegated? Yes (08-10 to 08-14). Scope match? Yes.
            *   Implement: u_dm (Diego)
            *   Verify: u_en (Eva). *Check Role.* Eva is Verifier until 08-11 23:59. OK.
            *   Close: u_cs (Clara).
            *   *Issues:* RR1 (Draft u_cs vs Approve u_bk) - OK. RR2 (Impl u_dm vs Verify u_en) - OK. RR3 (HIGH Approve) - Ben delegated? Yes. Asha absent? Yes (Leave).
        *   **CHG-502:** 2026-08-12. LOW, production_equipment.
            *   Draft: u_cs (Clara)
            *   Approve: u_cs (Clara). *Violation RR1.* Same person Draft & Approve.
            *   Implement: u_dm
            *   Verify: u_en
        *   **CHG-503:** 2026-08-12. HIGH, production_equipment.
            *   Draft: u_cs
            *   Approve: u_bk. *Check D-QM-01.* Asha on leave? Yes. Ben delegated? Yes.
            *   Implement: u_dm
            *   Verify: svc_qms. *Issue RR5.* Service account. Session WS-DM-04 (Diego's workstation). Diego entered room. No re-auth. Likely Diego acting via service account? Or shared?
        *   **CHG-504:** 2026-08-13. HIGH, production_equipment.
            *   Draft: u_cs
            *   Approve: u_as (Asha). *Issue:* Asha on leave (08-10 to 08-14). VPN session 09:15-09:40. Approval at 09:22. Within VPN session.
            *   Implement: u_dm
            *   Verify: u_en
            *   *Analysis:* Asha approved while on leave. Is this unauthorized? She has the role. Leave policy vs System authority. Usually, acting while on leave is policy violation but system authority holds. However, D-QM-01 condition was "while Asha is absent". If she is present (VPN), does delegation hold? Usually, principal availability invalidates delegation necessity, but doesn't necessarily invalidate principal's own action. However, if she is on official leave, she shouldn't be working.
        *   **CHG-505:** 2026-08-11. HIGH, cooling_system, Emergency=true.
            *   Draft: u_cs (12:20)
            *   Approve: u_fl (Farid) (13:00). *Check IC Delegation.* D-IC-03 (Diego->Farid) starts 12:00. Scope: Cooling Incident CI-44. Case scope: cooling_system. Emergency=true.
            *   Implement: u_dm (13:10)
            *   Verify: u_en (15:00)
            *   Retro Review: u_bk (Ben) (2026-08-14 16:00). *Check RR4.* QM or valid delegate within 2 business days.
                *   Event: 08-11 (Mon). 2 Business days: 08-12 (Tue), 08-13 (Wed). Deadline end of 08-13? Or within 2 days meaning by end of 2nd day? Usually "within 2 business days" means completed by end of 2nd business day. 08-14 is Thursday. That's 3 business days (12, 13, 14).
                *   Who is QM? Asha (on leave). Ben (Delegate D-QM-01 valid until 08-14 23:59). Ben performed review.
                *   Timing: 08-11 (Mon) -> 08-12 (Tue), 08-13 (Wed). 08-14 (Thu) is late? Or does "within 2 business days" mean 48 business hours? Standard interpretation: Day 1 (12th), Day 2 (13th). 14th is late.
                *   Also, Ben was on sick leave from 08-13 12:00. Review was 08-14 16:00. Ben was on sick leave.
            *   *Issues:* Retro review late? Ben on sick leave during review?
        *   **CHG-506:** 2026-08-13. HIGH, production_equipment.
            *   Draft: u_cs
            *   Approve: u_bk (13:00). *Check D-QM-01.* Valid until 08-14. Asha on leave.
            *   *Issue:* Ben on sick leave from 12:00. Approval at 13:00. Account used, Ben says he didn't do it. IP office workstation. Suspicious.
            *   Implement: u_dm
            *   Verify: u_en
        *   **CHG-507:** 2026-08-09. HIGH, production_equipment.
            *   Draft: u_cs
            *   Approve: u_en (Eva). *Check Role.* Eva is Independent Verifier until 08-11. Not QM. No delegation recorded before 08-15 (D-QM-02).
            *   *Violation:* RR3. HIGH risk needs QM. Eva is not QM.
            *   Implement: u_dm
            *   Verify: u_gl (Grace). Site Director. Not Verifier role? RR2 says Implementer != Verifier. Grace != Diego. But is Grace authorized to Verify? Role says "Independent Verifier through 2026-08-11". Grace is Site Director. Usually Verifier needs specific role. Assuming 'Independent Verifier' is a specific role held by Eva. Grace holding Site Director might not qualify for 'Verify_Implementation' if that activity requires 'Independent Verifier' role. However, RR2 focuses on separation. Let's look at RR3 for Approval. Eva approval is definitely wrong for HIGH risk.
        *   **CHG-508:** 2026-08-12. LOW, training_document.
            *   Draft: b.koch (Ben)
            *   Approve: u_bk (Ben). *Violation RR1.* Same human (aliases normalized).
            *   Implement: u_cs
            *   Verify: u_en
        *   **CHG-509:** 2026-08-15. HIGH, training_document.
            *   Draft: u_cs
            *   Approve: u_en (Eva). *Check D-QM-02.* Asha -> Eva. 08-15 00:00 to 23:59. Scope: Training-document. Condition: Asha absent.
                *   Is Asha absent? Leave ended 08-14. 08-15 is weekend. No specific absence record for 15th, but D-QM-02 says "principal must be absent". If Asha is back from leave on 15th (leave ended 14th), is she absent? Usually leave ends end of day 14th. 15th is weekend. If she is not working, she is absent.
                *   Scope matches (training_document).
                *   So Approval is likely Valid Substitution.
