## 1. Intervention definitions and estimands

The flag is not a free-standing manipulable cause. In these data it is a deterministic threshold on `risk_score` (every flagged case has `risk_score` >= 0.64, every unflagged case <= 0.61) and it is perfectly collinear with the triage lane and even the triage resource pool (T1/T2 serve only flagged cases, T3/T4 only unflagged). So "set `flag` = 0" is not one intervention: it is a bundle of at least four separable components that the organisation can operate independently.

Component decomposition of the flag (this is what makes the estimands below well defined):

- `A_D` display/visibility component: whether the flag value is shown to humans;
- `A_L` lane component: whether the case is routed into the priority triage lane / fast triage pool;
- `A_M` review-mandate component: whether flagging forces manual review;
- `A_E` escalation-criteria component: how the flag enters the escalation decision;
- `K` capacity parameters (review servers, senior servers, protected slots) — a system-level, not case-level, knob.

| estimand ID | intervention contrast | unit and population | outcome | total/direct/indirect or interventional analogue | well-defined? | main identification obstacle |
|---|---|---|---|---|---|---|
| E1 | P0 vs P1: set `A_D` = hidden for all cases in a shift, leaving `risk_score`, `complexity`, human information and capacity unchanged | shift/day (cluster), all cases arriving in that shift; secondary: threshold-local cases with `risk_score` in [0.55, 0.70] | mean and 90th-percentile `cycle_time` over the shift | total policy effect (cluster-level; per-case version is a total effect only under an exposure-mapping SUTVA relaxation) | Yes — hiding a displayed field is a physically executable act | Humans may reconstruct the flag from the visible score ("informational leakage"), so P1 is only a partial deactivation; single-period comparisons confound with load and staffing |
| E2 | P0 vs P1, and separately P0 vs "lane off, mandate on" (`A_L` = 0, `A_M` = 1) | case level; threshold-local population | `triage_done` - `arrival` (queue + service split reported separately) | total effect on triage completion, decomposable into a lane-discipline part and a resource-pool part | Yes for the bundle; **No** for "priority discipline holding the resource pool fixed" | Lane, flag and triage resource are perfectly collinear here: no data contrast can separate "priority queue discipline" from "different, faster triage staff/checklist" |
| E3 | P0 vs P2: keep `A_L` = 1, set `A_M` = 0 (review becomes discretionary for flagged cases, capacity `K` unchanged) | case level within shift; all flagged-eligible cases | `cycle_time`; also P(`manual_review`) | separable effect of the mandate component = interventional indirect effect through **occurrence** of manual review | Yes — this is an actual rule change, and it is the cleanest "occurrence-mediation" analogue | Reviewers' discretionary behaviour under P2 is not observed under P0; the flag=0 arm's review rate (0.40) is a *selected* human-judgment rate and is not the counterfactual rate for high-score cases |
| E4 | P0 vs P3: hold routing (`A_L`, `A_M`, `A_E`) fixed, raise protected review capacity `K_review` for flagged work | shift (cluster) primary; case level secondary | `manual_queue_wait` (triage_done -> manual_start) and `cycle_time` | interventional indirect effect through **waiting time** given occurrence held at its P0 distribution; equivalently a controlled direct effect with respect to capacity | Yes — capacity is directly settable; note the mediator manipulated is the queue, not the case | `manual_queue_wait` is a function of the *whole* arrival and treatment vector, not of the case's own flag: no case-level "set the wait to w" intervention exists, and protected slots move waiting onto unflagged work |
| E5 | P0 vs P4: change `A_E` (escalate only if `complexity` = High or audit-confirmed risk) and/or `K_senior` | case level (escalation-eligible, i.e. reviewed) and shift level for the capacity arm | `escalation_queue_wait`, `senior_service`, `cycle_time` | separable/interventional effect through the escalation branch, itself split into occurrence and waiting components | Yes | Escalation eligibility is itself post-treatment (only reviewed cases can escalate): conditioning on review induces selection and exposure-induced mediator-outcome confounding |
| E6 | P0 vs each of P1-P4 | case level, all cases in shift; reported separately for flagged-eligible and unflagged | `close` - `arrival` (`cycle_time`), mean, median, 90th pct | total effect on cycle time under partial interference; for the population-level version, a policy (stochastic) intervention estimand | Yes at the cluster level; case-level version requires an exposure mapping (e.g. number of flagged cases in the concurrent queue) | Shared review and senior queues violate SUTVA; case-level totals under P0 already embed other cases' treatments |
| E7 | P0 vs P2 and P0 vs P4 | case level, all cases; requires an **audit sample** | audited misclassification (false approve / false reject) against blinded re-adjudication, not the recorded `outcome` | separable "detection" effect of the mandate/criteria components; total effect on quality | Only **conditionally** well defined: the recorded `outcome` is not a quality measure | In these data every Reject (R03, R13, R09, R20) is an escalated High-complexity case and no non-escalated case is ever rejected — `outcome` is mechanically downstream of routing, so quality needs external labels |
| E8 | Increase vs decrease the share/number of flagged cases sharing a review window (e.g. by rescheduling batch windows), with the focal case's own flag held fixed | pairs (focal case, concurrent queue state); unflagged cases are the primary focal population | focal case's `manual_queue_wait` and `cycle_time` | spillover / interference effect (effect of others' treatment on my outcome) | Yes, as a design over queue composition; not as a per-case "flag" contrast | Requires queue-state reconstruction; `arrival_load` is a coarse snapshot and the resource labels appear to be pools (overlapping service intervals for the same resource), so true server occupancy is unknown |
| E9 | P0 vs a hypothetical "priority triage with zero downstream wait" | case level | `cycle_time` | controlled direct effect of the lane component fixing `manual_queue_wait` = 0 | **No** — not well defined as stated | A waiting time is an emergent property of a queueing system; "setting" it presupposes infinite capacity. It is only interpretable as the limit of E4 as `K_review` grows, and should be reported that way |
