## 1. Temporal Data Semantics

The analysis reconstructs state using **event time** as the primary ordering reference, supplemented by **effective time** where policy rules dictate. Each event carries a `time:timestamp` and an `event_index` to resolve ties. 

**State reconstruction** proceeds as follows:
1. **Blank cells** in the log denote "no update at this event," not a null value. 
2. For each attribute (amount, risk_level, jurisdiction, customer_type, exemption_id), the **latest non-blank value** captured before an event timestamp becomes effective.
3. **Material changes** trigger re-evaluation of relevant obligations. A >20% increase in amount after a prior review invalidates that review for amount-dependent obligations (R4). 
4. **Effective time** for exemptions follows the `effective_from` timestamp; if later than the triggering obligation, the exemption does not apply (R5). 
5. **Event-time semantics** mean we never look backward: when two events share a timestamp, `event_index` resolves order, and consequences are applied at that moment.
6. **Missing data** is not defaulted to low-risk values (R6). Instead, cases are flagged as **INDETERMINATE** unless additional evidence resolves the ambiguity. 
7. **Event times** (release events) dictate the final state snapshot used for rule evaluation.

## 2. Normalized Rule Table

| Rule | Trigger event & condition | Required prior/subsequent event | Ordering constraint | State snapshot used | Exception | Missing-data treatment | Evidence needed |
|---|---|---|---|---|---|---|---|
| R1 | Release_Funds, jurisdiction != DE, amount >= 100,000 | Enhanced_Review completed after latest data change | No ordering constraint beyond chronological | Latest state before release | None | Late records may indicate earlier approval but are not conclusive | Exemption approval timestamp & evidence hash |
| R2 | Release_Funds, risk_level=HIGH OR customer_type=PEP | Both Enhanced_Review & Compliance_Approve | Enhanced_Review must precede Compliance_Approve | State before release | Compliance_Approve must review Enhanced_Review output | Same-timestamp ordering resolved by event_index | Compliance reviewer's review packet |
| R3 | Sanctions_Screen, jurisdiction added to list after Sanctions_Screen & before Release_Funds | New Sanctions_Screen after list update | Must occur after Sanctions_Screen | Latest state before release | None | Late database insert after outage, but approved at correct time | Sanctions list update timestamp |
| R4 | Release_Funds, amount increase >20% after Standard/Enhanced Review | N/A (invalidates review) | No strict ordering, but review must precede release | State before release | Increase from unknown amount requires additional evidence | Use amount feed where available; otherwise INDETERMINATE | Updated amount timestamp |
| R5 | Any obligation | N/A (validity check) | No ordering constraint beyond chronological | Latest state before release | Late/excessive approval does not invalidate | Must verify effective_from  trigger time; expiry & scope match | Exemption record & approval timestamp |
| R6 | Any obligation | N/A (invalidation check) | No ordering constraint | Final state | INDETERMINATE if trigger cannot be established | Treat as INDETERMINATE unless proven otherwise | Evidence supporting final value |

**Pseudo-logic (defeasible temporal representation)**

```
R1: if Release_Funds  jurisdiction != DE  amount >= 100,000
    then Enhanced_Review in (event_index > latest_data_change)  
         latest(effective_from) <= Release_Funds
else no obligation.

R2: if Release_Funds  (risk_level = HIGH or customer_type = PEP)
    then Enhanced_Review in prior_events  Compliance_Approve in (event_index > Enhanced_Review)  
         Compliance_Approve < Release_Funds
else Enhanced_Review not required.

R3: if Sanctions_Screen and jurisdiction added after Sanctions_Screen and before Release_Funds
    then Sanctions_Screen after update and before Release_Funds
else no obligation.

