Model,Total,1a_instruction_override,1b_context_omission,1c_prompt_contradiction,2a_concept_fabrication,2b_spurious_numeric,2c_false_citation,3a_unsupported_leap,3b_self_contradiction,3c_circular_reasoning,4a_syntax_error,4b_model_semantics_breach,4c_visual_descr_mismatch
nvidianemotron-3.5-lightning,12,0,0,0,0,1,0,9,1,0,1,0,0
deepseekdeepseek-v4-flash-0731,13,0,0,0,0,2,0,9,1,0,0,1,0
tencenthy3,14,0,0,0,0,3,0,7,3,0,0,1,0
metamuse-glimmer-30b,15,0,0,0,3,1,0,10,1,0,0,0,0
grok-4.5,15,0,0,0,0,4,0,7,4,0,0,0,0
moonshotaikimi-k3,17,0,0,0,0,2,1,12,2,0,0,0,0
xiaomimimo-v2.5-pro,17,1,1,1,0,3,0,8,1,0,0,2,0
grok-4.6,17,0,0,0,3,0,0,10,4,0,0,0,0
qwenqwen3.8-max,18,0,0,0,0,2,1,12,3,0,0,0,0
qwenqwen3.5-122b-a10b,18,0,0,0,1,0,0,15,2,0,0,0,0
deepseekdeepseek-v4-pro-0813,18,0,0,0,1,1,0,11,5,0,0,0,0
claude-sonnet-5,20,0,0,0,1,2,0,12,4,0,0,1,0
thinkingmachinesinkling-small,20,0,0,0,0,1,0,19,0,0,0,0,0
gpt-5.6-sol-NONE,21,0,0,0,0,1,1,18,1,0,0,0,0
qwenqwen3.8-2.4t-a95b,23,0,0,0,2,7,1,12,1,0,0,0,0
GPT-5.6-Sol-Pro,25,0,0,0,0,5,0,19,1,0,0,0,0
gpt-5.4-XHIGH,26,0,0,0,2,3,0,16,5,0,0,0,0
ministral-8b-2512,26,0,0,0,2,2,0,18,4,0,0,0,0
mistral-large-2512,26,0,0,0,0,0,0,20,5,0,0,0,1
ibm-granitegranite-4.1-8b,26,0,0,0,2,1,1,17,4,1,0,0,0
gpt-4o-2024-11-20,27,0,0,0,0,4,0,22,1,0,0,0,0
gpt-5.6-terra-NONE,28,0,0,0,1,4,0,20,3,0,0,0,0
gpt-5.6-sol-XHIGH,29,0,0,0,0,4,0,21,4,0,0,0,0
GPT-5.5-Pro,29,0,0,0,0,5,1,19,4,0,0,0,0
z-aiglm-5.2,30,1,2,2,0,3,0,18,2,0,0,2,0
thinkingmachinesinkling,30,0,0,0,2,9,0,16,3,0,0,0,0
ministral-3b-2512,30,0,0,0,0,3,0,19,6,0,1,1,0
deepseekdeepseek-v4-pro,31,2,1,1,1,5,0,17,1,0,2,0,1
gpt-5.6-terra-XHIGH,32,0,2,0,5,1,0,21,3,0,0,0,0
mistral-small-2603,32,0,0,0,0,9,0,22,1,0,0,0,0
qwenqwen3.5-397b-a17b,34,1,0,0,5,3,1,18,2,0,0,4,0
gpt-5.6-luna-XHIGH,34,0,0,0,2,3,1,23,4,0,0,1,0
ministral-14b-2512,34,0,0,0,1,1,0,21,9,0,2,0,0
qwenqwen3.5-9b,41,0,1,0,7,4,0,18,4,0,0,8,0
claude-fable-5-thinking-high,42,0,1,2,0,12,1,19,6,0,0,1,0
qwenqwen3.6-35b-a3b,44,2,8,2,3,6,0,17,6,0,0,0,0
grok-4.3,46,0,0,0,0,13,0,31,2,0,0,0,0
Grok-4.5-Heavy,49,0,5,1,0,10,0,24,8,0,0,1,0
ibm-granitegranite-4.0-h-micro,49,3,7,5,1,1,0,21,6,0,1,4,0
gemini-3.5-flash-lite,50,0,0,0,1,6,0,29,5,0,1,8,0
metamuse-spark-1.2,54,1,3,0,3,16,0,23,4,0,3,1,0
gemini-3.7-flash-high,58,2,5,0,0,20,0,20,8,1,0,2,0
qwenqwen3.6-27b,59,4,7,0,5,17,1,20,3,0,0,2,0
gemini-3.6-flash,61,0,4,1,1,18,0,32,5,0,0,0,0
minimaxminimax-m3,61,6,1,0,2,13,1,30,7,0,0,1,0
claude-opus-5-thinking-high,69,2,3,0,0,18,1,30,6,0,1,5,0
mistral-medium-3-5,85,5,4,1,3,20,0,33,11,0,0,8,0
o3-2025-04-16,86,3,6,2,2,18,0,31,7,0,10,7,0
claude-haiku-4-5,109,12,7,2,1,23,1,41,18,0,1,3,0
